pct_num,pct_name,hodges13_votes,winton13_votes,samuels13_votes,andrew13_votes,hodges13_pct,winton13_pct,samuels13_pct,andrew13_pct,mayor_13_total,hodges17_votes,frey17_votes,levy17_votes,dehn17_votes,hoch17_votes,hodges17_pct,frey17_pct,levy17_pct,dehn17_pct,hoch17_pct,mayor_17_total,murphy18_votes,swanson18_votes,walz18_votes,murphy18_pct,swanson18_pct,walz18_pct,gov_18_total,hilstrom18_votes,ellison18_votes,pelikan18_votes,rothman18_votes,foley18_votes,hilstrom18_pct,ellison18_pct,pelikan18_pct,rothman18_pct,foley18_pct,ag_18_total,omar18_votes,kelliher18_votes,ray18_votes,omar18_pct,kelliher18_pct,ray18_pct,ush_18_total,sanders20_votes,warren20_votes,biden20_votes,bloomberg20_votes,sanders20_pct,warren20_pct,biden20_pct,bloomberg20_pct,pres_20_total,omar20_votes,omar20_pct,ush_20_total,frey21_votes,knuth21_votes,nezhad21_votes,frey21_pct,knuth21_pct,nezhad21_pct,mayor_21_total,yes1_votes,yes1_pct,structure_21_total,yes2_votes,yes2_pct,police_21_total,yes3_votes,yes3_pct,rent_21_total
1957,MINNEAPOLIS W-12 P-13,,,,,,,,,,97.0,156.0,60.0,91.0,128.0,17.23,27.71,10.66,16.16,22.74,563.0,202.0,72.0,204.0,42.08,15.0,42.5,532.0,68.0,289.0,55.0,29.0,25.0,14.59,62.02,11.8,6.22,5.36,512.0,218.0,131.0,115.0,45.89,27.58,24.21,515.0,174,191,206,32,27.75,30.46,32.85,5.1,639,397,59.43,703,378,178,123,43.8,20.63,14.25,863,515,60.02,858,313,35.98,870,383,44.48,861
1960,MINNEAPOLIS W-13 P-01,206.0,100.0,50.0,134.0,35.03,17.01,8.5,22.79,587.0,121.0,211.0,72.0,70.0,184.0,17.51,30.54,10.42,10.13,26.63,691.0,284.0,63.0,362.0,39.61,8.79,50.49,793.0,72.0,367.0,111.0,93.0,53.0,10.34,52.73,15.95,13.36,7.61,763.0,344.0,265.0,77.0,48.25,37.17,10.8,769.0,328,205,371,68,31.81,19.88,35.98,6.6,1050,461,46.47,1033,626,147,189,53.83,12.64,16.25,1163,761,65.72,1158,382,32.54,1174,481,41.25,1166
1965,MINNEAPOLIS W-13 P-02,543.0,141.0,99.0,289.0,43.1,11.19,7.86,22.94,1260.0,163.0,188.0,46.0,56.0,162.0,25.59,29.51,7.22,8.79,25.43,637.0,212.0,47.0,277.0,39.26,8.7,51.3,582.0,56.0,297.0,73.0,61.0,39.0,10.65,56.46,13.88,11.6,7.41,566.0,239.0,203.0,63.0,44.76,38.02,11.8,569.0,147,196,301,50,20.0,26.67,40.95,6.8,749,322,43.4,771,532,197,76,56.48,20.91,8.07,942,698,74.1,942,260,27.43,948,291,30.89,942
1970,MINNEAPOLIS W-13 P-03,542.0,145.0,105.0,255.0,45.36,12.13,8.79,21.34,1194.0,173.0,295.0,85.0,79.0,209.0,20.09,34.26,9.87,9.18,24.27,861.0,288.0,91.0,393.0,36.92,11.67,50.38,812.0,84.0,406.0,90.0,113.0,63.0,11.11,53.7,11.9,14.95,8.33,782.0,321.0,360.0,64.0,41.47,46.51,8.27,798.0,210,219,400,80,21.76,22.69,41.45,8.29,972,445,44.15,1036,754,188,95,61.7,15.38,7.77,1222,921,75.43,1221,322,26.22,1228,372,30.62,1215
1975,MINNEAPOLIS W-13 P-04,498.0,239.0,137.0,289.0,37.42,17.96,10.29,21.71,1331.0,179.0,263.0,95.0,73.0,173.0,22.35,32.83,11.86,9.11,21.6,801.0,321.0,87.0,335.0,43.03,11.66,44.91,797.0,82.0,385.0,116.0,92.0,46.0,11.37,53.4,16.09,12.76,6.38,769.0,360.0,293.0,61.0,48.98,39.86,8.3,771.0,254,265,328,56,26.6,27.75,34.35,5.86,978,547,55.59,1017,632,251,115,52.62,20.9,9.58,1201,810,68.35,1185,385,31.9,1207,477,39.95,1194
1980,MINNEAPOLIS W-13 P-05,596.0,166.0,147.0,310.0,42.03,11.71,10.37,21.86,1418.0,167.0,289.0,67.0,82.0,220.0,19.67,34.04,7.89,9.66,25.91,849.0,246.0,80.0,409.0,33.15,10.78,55.12,792.0,75.0,432.0,80.0,87.0,52.0,10.33,59.5,11.02,11.98,7.16,769.0,328.0,319.0,63.0,44.87,43.64,8.62,768.0,168,221,399,67,18.56,24.42,44.09,7.4,920,426,43.74,1001,717,210,86,57.31,16.79,6.87,1251,911,73.11,1246,309,24.62,1255,389,31.35,1241
1985,MINNEAPOLIS W-13 P-06,705.0,209.0,150.0,461.0,41.96,12.44,8.93,27.44,1680.0,183.0,394.0,94.0,92.0,377.0,15.65,33.7,8.04,7.87,32.25,1169.0,344.0,73.0,579.0,34.26,7.27,57.67,1060.0,58.0,570.0,87.0,167.0,88.0,5.98,58.76,8.97,17.22,9.07,1021.0,400.0,431.0,131.0,40.28,43.4,13.19,1036.0,217,291,520,91,18.24,24.45,43.7,7.65,1201,517,39.8,1337,925,255,131,58.8,16.21,8.33,1573,1236,78.98,1565,373,23.7,1574,432,27.62,1564
1990,MINNEAPOLIS W-13 P-07,573.0,189.0,105.0,339.0,41.58,13.72,7.62,24.6,1378.0,248.0,516.0,138.0,120.0,387.0,16.91,35.17,9.41,8.18,26.38,1467.0,447.0,141.0,639.0,36.14,11.4,51.66,1342.0,131.0,704.0,126.0,151.0,97.0,10.84,58.23,10.42,12.49,8.02,1305.0,536.0,507.0,137.0,43.9,41.52,11.22,1308.0,335,389,673,94,21.26,24.68,42.7,5.96,1605,794,47.66,1714,1168,410,160,56.13,19.7,7.69,2081,1479,71.62,2065,561,26.78,2095,709,34.25,2070
1995,MINNEAPOLIS W-13 P-08,364.0,123.0,81.0,205.0,41.08,13.88,9.14,23.14,886.0,163.0,347.0,110.0,83.0,276.0,16.11,34.29,10.87,8.2,27.27,1012.0,328.0,114.0,381.0,39.57,13.75,45.96,894.0,87.0,464.0,106.0,75.0,70.0,10.85,57.86,13.22,9.35,8.73,865.0,365.0,310.0,101.0,44.46,37.76,12.3,876.0,188,296,427,62,18.56,29.22,42.15,6.12,1037,546,48.32,1183,791,251,150,55.51,17.61,10.53,1425,937,65.57,1429,416,28.91,1439,552,38.66,1428
2000,MINNEAPOLIS W-13 P-09,358.0,150.0,69.0,272.0,36.38,15.24,7.01,27.64,984.0,163.0,380.0,127.0,116.0,355.0,13.65,31.83,10.64,9.72,29.73,1194.0,393.0,128.0,455.0,39.94,13.01,46.24,1124.0,114.0,592.0,103.0,71.0,71.0,11.99,62.25,10.83,7.47,7.47,1082.0,485.0,343.0,98.0,50.0,35.36,10.1,1083.0,371,341,442,75,28.67,26.35,34.16,5.8,1349,769,55.13,1474,854,390,204,47.87,21.86,11.44,1784,1133,63.65,1780,577,32.11,1797,715,40.24,1777
2005,MINNEAPOLIS W-13 P-10,,,,,,,,,,112.0,183.0,64.0,69.0,153.0,18.92,30.91,10.81,11.66,25.84,592.0,215.0,51.0,290.0,38.19,9.06,51.51,581.0,62.0,289.0,86.0,80.0,32.0,11.29,52.64,15.66,14.57,5.83,563.0,287.0,195.0,61.0,51.34,34.88,10.91,570.0,146,185,288,53,20.95,26.54,41.32,7.6,708,322,43.99,743,453,161,87,55.86,19.85,10.73,811,593,73.3,809,257,31.57,814,267,33.04,808
2010,MINNEAPOLIS W-13 P-11,,,,,,,,,,140.0,343.0,73.0,64.0,240.0,15.78,38.67,8.23,7.22,27.06,887.0,313.0,93.0,346.0,41.24,12.25,45.59,813.0,102.0,405.0,90.0,75.0,70.0,13.75,54.58,12.13,10.11,9.43,791.0,328.0,322.0,70.0,43.56,42.76,9.3,797.0,183,218,427,53,19.83,23.62,46.26,5.74,933,418,40.78,1066,766,201,101,58.7,15.4,7.74,1305,956,73.88,1294,320,24.46,1308,379,29.11,1302
2015,MINNEAPOLIS W-13 P-12,,,,,,,,,,108.0,204.0,85.0,46.0,128.0,18.4,34.75,14.48,7.84,21.81,587.0,195.0,54.0,242.0,39.55,10.95,49.09,535.0,49.0,271.0,79.0,49.0,37.0,10.1,55.88,16.29,10.1,7.63,523.0,240.0,191.0,40.0,49.28,39.22,8.21,522.0,128,177,294,46,19.08,26.38,43.82,6.86,680,335,47.18,726,478,159,78,57.94,19.27,9.45,825,612,74.63,820,215,25.75,835,277,33.41,829
2020,MINNEAPOLIS W-13 P-13,,,,,,,,,,195.0,320.0,68.0,81.0,261.0,20.48,33.61,7.14,8.51,27.42,952.0,258.0,82.0,439.0,32.87,10.45,55.92,830.0,84.0,417.0,82.0,119.0,65.0,10.95,54.37,10.69,15.52,8.47,809.0,301.0,371.0,91.0,38.79,47.81,11.73,812.0,164,252,439,58,16.63,25.56,44.52,5.88,996,417,37.53,1129,820,214,74,63.47,16.56,5.73,1292,1035,80.67,1283,294,22.69,1296,356,27.62,1289
