pct_num,pct_name,hodges13_votes,winton13_votes,samuels13_votes,andrew13_votes,hodges13_pct,winton13_pct,samuels13_pct,andrew13_pct,hodges17_votes,frey17_votes,levy17_votes,dehn17_votes,hoch17_votes,hodges17_pct,frey17_pct,levy17_pct,dehn17_pct,hoch17_pct,murphy18_votes,swanson18_votes,walz18_votes,murphy18_pct,swanson18_pct,walz18_pct,hilstrom18_votes,ellison18_votes,pelikan18_votes,rothman18_votes,foley18_votes,hilstrom18_pct,ellison18_pct,pelikan18_pct,rothman18_pct,foley18_pct,omar18_votes,kelliher18_votes,ray18_votes,omar18_pct,kelliher18_pct,ray18_pct,sanders20_votes,warren20_votes,biden20_votes,bloomberg20_votes,sanders20_pct,warren20_pct,biden20_pct,bloomberg20_pct,omar20_votes,melton20_votes,omar20_pct,melton20_pct,frey21_votes,knuth21_votes,nezhad21_votes,frey21_pct,knuth21_pct,nezhad21_pct,yes1_votes,no1_votes,yes1_pct,no1_pct,yes2_votes,no2_votes,yes2_pct,no2_pct,yes3_votes,no3_votes,yes3_pct,no3_pct
1760,MINNEAPOLIS W-9 P-03,156.0,41.0,47.0,100.0,32.43,8.52,9.77,20.79,145.0,156.0,116.0,105.0,67.0,22.76,24.49,18.21,16.48,10.52,335.0,134.0,177.0,50.38,20.15,26.62,39.0,565.0,77.0,15.0,26.0,5.4,78.25,10.66,2.08,3.6,388.0,106.0,97.0,52.93,14.46,13.23,397,123,126,25,57.2,17.72,18.16,3.6,132,607,17.37,79.87,298,86,232,36.43,10.51,28.36,407,372,52.25,47.75,411,386,51.57,48.43,250,535,31.85,68.15
1765,MINNEAPOLIS W-9 P-04,130.0,9.0,24.0,57.0,37.68,2.61,6.96,16.52,93.0,86.0,77.0,132.0,41.0,20.04,18.53,16.59,28.45,8.84,294.0,108.0,116.0,53.85,19.78,21.25,41.0,433.0,84.0,17.0,20.0,6.89,72.77,14.12,2.86,3.36,279.0,67.0,146.0,45.44,10.91,23.78,303,55,60,14,69.18,12.56,13.7,3.2,70,432,13.54,83.56,159,91,121,31.05,17.77,23.63,244,242,50.21,49.79,263,235,52.81,47.19,139,352,28.31,71.69
1770,MINNEAPOLIS W-9 P-05,84.0,7.0,22.0,31.0,42.42,3.54,11.11,15.66,43.0,34.0,66.0,81.0,23.0,16.41,12.98,25.19,30.92,8.78,164.0,30.0,43.0,67.49,12.35,17.7,18.0,150.0,56.0,10.0,5.0,7.53,62.76,23.43,4.18,2.09,161.0,30.0,37.0,65.98,12.3,15.16,202,61,27,5,66.89,20.2,8.94,1.66,29,239,10.51,86.59,73,44,147,23.1,13.92,46.52,209,97,68.3,31.7,109,208,34.38,65.62,80,236,25.32,74.68
1775,MINNEAPOLIS W-9 P-06,368.0,32.0,77.0,149.0,46.06,4.0,9.64,18.65,220.0,184.0,225.0,278.0,139.0,19.71,16.49,20.16,24.91,12.46,543.0,128.0,261.0,57.83,13.63,27.8,104.0,581.0,131.0,71.0,40.0,11.22,62.68,14.13,7.66,4.32,531.0,140.0,216.0,56.13,14.8,22.83,644,354,170,30,52.74,28.99,13.92,2.46,247,965,19.94,77.89,426,271,522,28.86,18.36,35.37,885,561,61.2,38.8,632,840,42.93,57.07,478,983,32.72,67.28
1780,MINNEAPOLIS W-9 P-07,267.0,29.0,59.0,77.0,49.08,5.33,10.85,14.15,130.0,75.0,159.0,179.0,88.0,19.88,11.47,24.31,27.37,13.46,374.0,57.0,200.0,58.71,8.95,31.4,76.0,379.0,112.0,35.0,23.0,12.16,60.64,17.92,5.6,3.68,379.0,112.0,119.0,59.22,17.5,18.59,362,247,89,21,48.79,33.29,11.99,2.83,152,538,21.62,76.53,239,185,317,29.0,22.45,38.47,527,294,64.19,35.81,311,516,37.61,62.39,276,548,33.5,66.5
1785,MINNEAPOLIS W-9 P-08,8.0,5.0,6.0,9.0,15.69,9.8,11.76,17.65,6.0,22.0,16.0,16.0,9.0,7.79,28.57,20.78,20.78,11.69,27.0,11.0,10.0,55.1,22.45,20.41,5.0,34.0,5.0,3.0,1.0,10.42,70.83,10.42,6.25,2.08,32.0,8.0,6.0,61.54,15.38,11.54,44,17,12,3,56.41,21.79,15.38,3.85,15,57,20.27,77.03,32,11,10,34.78,11.96,10.87,51,43,54.26,45.74,62,31,66.67,33.33,29,64,31.18,68.82
1790,MINNEAPOLIS W-9 P-09,,,,,,,,,74.0,60.0,105.0,133.0,52.0,16.52,13.39,23.44,29.69,11.61,204.0,35.0,105.0,58.79,10.09,30.26,22.0,246.0,40.0,19.0,17.0,6.4,71.51,11.63,5.52,4.94,241.0,52.0,36.0,67.7,14.61,10.11,362,96,85,15,63.62,16.87,14.94,2.64,86,413,16.8,80.66,170,64,240,29.88,11.25,42.18,352,196,64.23,35.77,223,337,39.82,60.18,166,392,29.75,70.25
1805,MINNEAPOLIS W-10 P-01,284.0,39.0,97.0,129.0,43.49,5.97,14.85,19.75,160.0,138.0,162.0,235.0,197.0,17.47,15.07,17.69,25.66,21.51,509.0,105.0,287.0,56.06,11.56,31.61,112.0,461.0,230.0,49.0,37.0,12.6,51.86,25.87,5.51,4.16,642.0,155.0,83.0,71.1,17.16,9.19,785,327,171,30,57.93,24.13,12.62,2.21,251,850,22.39,75.83,298,256,537,24.25,20.83,43.69,830,398,67.59,32.41,385,850,31.17,68.83,351,877,28.58,71.42
1810,MINNEAPOLIS W-10 P-02,269.0,43.0,49.0,121.0,47.03,7.52,8.57,21.15,168.0,232.0,161.0,222.0,176.0,16.9,23.34,16.2,22.33,17.71,566.0,84.0,332.0,56.54,8.39,33.17,109.0,537.0,202.0,76.0,47.0,11.23,55.3,20.8,7.83,4.84,657.0,199.0,105.0,65.96,19.98,10.54,466,203,146,26,53.87,23.47,16.88,3.01,159,489,23.91,73.53,213,172,328,25.82,20.85,39.76,544,280,66.02,33.98,295,534,35.59,64.42,258,570,31.16,68.84
1815,MINNEAPOLIS W-10 P-03A,295.0,65.0,83.0,189.0,40.63,8.95,11.43,26.03,157.0,229.0,90.0,99.0,211.0,19.08,27.82,10.94,12.03,25.64,324.0,80.0,338.0,43.09,10.64,44.95,95.0,423.0,103.0,80.0,37.0,12.87,57.32,13.96,10.84,5.01,365.0,295.0,62.0,49.26,39.81,8.37,373,292,311,56,34.7,27.16,28.93,5.21,444,556,43.57,54.56,643,258,212,49.39,19.82,16.28,480,808,37.27,62.73,812,492,62.27,37.73,743,558,57.11,42.89
