tract_geoid,pop2020,frey_votes,opponent_votes,total_votes,n_blocks,year,frey_share,opponent_name
27053105100,2768,572.3090995286473,517.9688408157313,1090.2779403443785,82,2017,52.49203697067153,Dehn
27053105201,3008,465.27013147997116,150.79106376299703,616.0611952429681,24,2017,75.5233627880869,Dehn
27053105204,2865,440.88517659814454,144.8186460215372,585.7038226196817,25,2017,75.27442362014888,Dehn
27053105400,4440,298.26921283521415,139.8841593183682,438.15337215358227,38,2017,68.07415662903179,Dehn
27053105500,3822,778.6819106243643,406.55519498204245,1185.2371056064067,70,2017,65.6984081025682,Dehn
27053105600,4920,580.9524670803976,391.60485133176354,972.5573184121611,23,2017,59.73452218002797,Dehn
27053105700,3062,305.19331836399624,268.1617851810655,573.3551035450619,24,2017,53.22937154949561,Dehn
27053106000,3431,308.79104812508496,137.63249332277064,446.4235414478556,43,2017,69.16997412896363,Dehn
27053106200,3817,453.0855739713248,566.9316280634705,1020.0172020347951,33,2017,44.41940518919494,Dehn
27053106400,1817,186.45816722014163,227.2410172587339,413.6991844788755,33,2017,45.07095353717398,Dehn
27053106500,4872,1006.8683349799873,318.07207358503274,1324.9404085650203,78,2017,75.99348079891972,Dehn
27053106600,2517,402.7936061186037,273.25277909024885,676.0463852088526,30,2017,59.58076471249346,Dehn
27053106700,5075,446.82799616006184,596.3361310619408,1043.1641272220027,46,2017,42.83391122257883,Dehn
27053106900,2842,138.1547585251594,240.00821083591225,378.16296936107165,24,2017,36.5331271749267,Dehn
27053107000,3971,195.4892932318988,310.87591873442045,506.36521196631935,21,2017,38.60638302397869,Dehn
27053107400,1799,138.72690233422253,225.37011774988412,364.0970200841065,31,2017,38.10163079669715,Dehn
27053107500,1882,241.57495177192135,430.2121327845171,671.7870845564385,58,2017,35.960047063337974,Dehn
27053107600,3566,596.9937697198866,590.1264173931627,1187.120187113049,72,2017,50.289244189479454,Dehn
27053108000,3585,577.1026175220748,352.0444324035136,929.1470499255884,37,2017,62.111010046073176,Dehn
27053108600,2944,186.20838735465168,372.9279260014299,559.1363133560816,33,2017,33.302860663257675,Dehn
27053108700,4013,372.47236613931864,486.100243499955,858.5726096392733,57,2017,43.38274503024407,Dehn
27053108800,3698,436.164024626245,538.7647239716745,974.9287485979193,60,2017,44.738041139263615,Dehn
27053108900,2310,308.19151697697004,358.14387575816534,666.3353927351354,39,2017,46.25171052552426,Dehn
27053109000,1805,263.50398950629165,255.70192013844215,519.2059096447339,38,2017,50.7513463563221,Dehn
27053109100,4998,815.3053119574784,322.18923548646626,1137.4945474439446,58,2017,71.67553583351628,Dehn
27053109200,3473,489.10121575603733,399.6428506775694,888.7440664336067,24,2017,55.0328530145608,Dehn
27053109300,4032,428.92488014780434,569.2427064112157,998.1675865590202,42,2017,42.97122907250832,Dehn
27053109400,2192,87.63537352232743,169.81168534525509,257.44705886758254,26,2017,34.0401533067824,Dehn
27053109700,2311,196.60390158897204,381.83249131780434,578.4363929067764,26,2017,33.98885409007411,Dehn
27053109800,4412,920.2230445829055,345.9938584145279,1266.2169029974336,74,2017,72.67499291823705,Dehn
27053109900,4034,593.3103815269627,595.4311415632814,1188.7415230902438,57,2017,49.910798100549,Dehn
27053110000,1683,112.93874484552441,153.85658840013733,266.79533324566177,25,2017,42.3316043318988,Dehn
27053110100,2845,310.4329071095997,436.55150863624647,746.9844157458463,41,2017,41.55815041999769,Dehn
27053110200,3667,473.7236481610808,471.37139526601743,945.0950434270984,59,2017,50.124445309041796,Dehn
27053110400,3351,519.3668728280903,425.3591933976024,944.7260662256928,50,2017,54.975393544822005,Dehn
27053110500,5250,720.5659917065085,609.3191093269165,1329.885101033425,91,2017,54.18257495678177,Dehn
27053110800,4331,780.1944793228242,620.7252504134641,1400.9197297362884,65,2017,55.69159051458925,Dehn
27053110900,3497,458.0464151000905,358.57910283432767,816.6255179344183,61,2017,56.090142303987534,Dehn
27053111100,3375,539.6030647439551,414.1610147853601,953.7640795293148,60,2017,56.576157178224896,Dehn
